,[ratio] of one-of boards,compat_ratio,[male_participation] of one-of boards,[female_participation] of one-of boards
0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,5.0,6.0
2.0,0.14,-1.0,2.0,1.0
3.0,0.14,-1.0,3.0,4.0
4.0,0.31,-1.0,8.0,6.0
5.0,0.3,-1.0,2.0,0.0
6.0,0.33,-1.0,6.0,2.0
7.0,0.33,-1.0,1.0,2.0
8.0,0.32,-1.0,5.0,4.0
9.0,0.34,-1.0,4.0,0.0
10.0,0.33,-1.0,1.0,2.0
11.0,0.31,-1.0,4.0,4.0
12.0,0.29,-1.0,3.0,0.0
13.0,0.31,-1.0,2.0,1.0
14.0,0.31,-1.0,1.0,2.0
15.0,0.33,-1.0,2.0,2.0
16.0,0.31,-1.0,4.0,2.0
17.0,0.32,-1.0,2.0,3.0
18.0,0.33,-1.0,3.0,3.0
19.0,0.34,-1.0,2.0,5.0
20.0,0.34,-1.0,2.0,0.0
