,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,1.0,1.0,9.0
2.0,1.0,0.75,7.0
3.0,1.0,0.59,13.0
4.0,1.0,0.53,11.0
5.0,1.0,0.54,6.0
6.0,1.0,0.56,9.0
7.0,1.0,0.51,8.0
8.0,1.0,0.52,3.0
9.0,1.0,0.52,7.0
10.0,-1.0,0.49,7.0
11.0,-1.0,0.48,3.0
12.0,-1.0,0.49,1.0
13.0,-1.0,0.45,7.0
14.0,-1.0,0.46,10.0
15.0,-1.0,0.44,7.0
16.0,-1.0,0.43,3.0
17.0,-1.0,0.44,5.0
18.0,-1.0,0.44,8.0
19.0,-1.0,0.43,6.0
20.0,-1.0,0.43,9.0
21.0,-1.0,0.42,10.0
22.0,-1.0,0.44,5.0
23.0,-1.0,0.46,8.0
24.0,-1.0,0.44,9.0
25.0,-1.0,0.45,8.0
26.0,-1.0,0.47,11.0
27.0,-1.0,0.45,8.0
28.0,-1.0,0.46,11.0
29.0,-1.0,0.44,9.0
30.0,-1.0,0.45,4.0
31.0,-1.0,0.45,8.0
32.0,-1.0,0.45,5.0
33.0,-1.0,0.45,3.0
34.0,-1.0,0.46,11.0
35.0,-1.0,0.46,8.0
36.0,-1.0,0.47,11.0
37.0,-1.0,0.49,12.0
38.0,-1.0,0.5,12.0
39.0,-1.0,0.49,6.0
40.0,-1.0,0.49,2.0
41.0,-1.0,0.49,8.0
42.0,-1.0,0.5,13.0
43.0,1.0,0.51,8.0
44.0,-1.0,0.5,7.0
45.0,-1.0,0.5,3.0
46.0,-1.0,0.5,5.0
47.0,1.0,0.52,10.0
48.0,1.0,0.52,10.0
49.0,1.0,0.51,9.0
50.0,1.0,0.51,11.0
51.0,1.0,0.51,5.0
52.0,1.0,0.52,10.0
53.0,1.0,0.52,6.0
54.0,1.0,0.52,8.0
55.0,1.0,0.52,8.0
56.0,1.0,0.52,5.0
57.0,1.0,0.52,6.0
58.0,1.0,0.52,6.0
59.0,1.0,0.53,10.0
60.0,1.0,0.53,10.0
61.0,1.0,0.54,10.0
62.0,1.0,0.54,11.0
63.0,1.0,0.55,10.0
64.0,1.0,0.56,10.0
65.0,1.0,0.57,10.0
