Compatíveis  1764  |  372   Incompatíveis
Compatíveis  1549  |  548   Incompatíveis
Compatíveis  1595  |  519   Incompatíveis
Compatíveis  1824  |  284   Incompatíveis
Compatíveis  1598  |  426   Incompatíveis
Compatíveis  1619  |  446   Incompatíveis
Compatíveis  1455  |  634   Incompatíveis
Compatíveis  1688  |  393   Incompatíveis
Compatíveis  1591  |  505   Incompatíveis
Compatíveis  1441  |  657   Incompatíveis
Compatíveis  1727  |  344   Incompatíveis
Compatíveis  1562  |  479   Incompatíveis
Compatíveis  1643  |  468   Incompatíveis
Compatíveis  1781  |  369   Incompatíveis
Compatíveis  1642  |  454   Incompatíveis
Compatíveis  1723  |  384   Incompatíveis
Compatíveis  1749  |  346   Incompatíveis
Compatíveis  1746  |  372   Incompatíveis
Compatíveis  1749  |  365   Incompatíveis
Compatíveis  1686  |  445   Incompatíveis
