,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,6.0,6.0,0.0,1.0
2.0,1.0,11.0,7.0,4.0,0.64
3.0,1.0,12.0,10.0,2.0,0.83
4.0,1.0,14.0,10.0,4.0,0.71
5.0,1.0,10.0,9.0,1.0,0.9
6.0,1.0,13.0,8.0,5.0,0.62
7.0,1.0,9.0,7.0,2.0,0.78
8.0,1.0,11.0,7.0,4.0,0.64
9.0,1.0,12.0,7.0,5.0,0.58
10.0,1.0,12.0,9.0,3.0,0.75
11.0,1.0,15.0,9.0,6.0,0.6
12.0,1.0,12.0,9.0,3.0,0.75
13.0,-1.0,5.0,1.0,4.0,0.2
14.0,-1.0,3.0,0.0,3.0,0.0
15.0,1.0,7.0,5.0,2.0,0.71
16.0,1.0,11.0,10.0,1.0,0.91
17.0,1.0,12.0,8.0,4.0,0.67
18.0,1.0,11.0,9.0,2.0,0.82
19.0,1.0,10.0,6.0,4.0,0.6
20.0,1.0,12.0,10.0,2.0,0.83
21.0,1.0,13.0,9.0,4.0,0.69
22.0,1.0,12.0,8.0,4.0,0.67
23.0,1.0,14.0,8.0,6.0,0.57
24.0,1.0,13.0,11.0,2.0,0.85
25.0,1.0,11.0,7.0,4.0,0.64
26.0,1.0,8.0,8.0,0.0,1.0
27.0,1.0,13.0,9.0,4.0,0.69
28.0,1.0,12.0,10.0,2.0,0.83
29.0,1.0,12.0,8.0,4.0,0.67
30.0,1.0,10.0,8.0,2.0,0.8
31.0,-1.0,11.0,5.0,6.0,0.45
32.0,1.0,14.0,12.0,2.0,0.86
33.0,1.0,14.0,9.0,5.0,0.64
34.0,1.0,13.0,11.0,2.0,0.85
35.0,-1.0,11.0,5.0,6.0,0.45
36.0,1.0,14.0,12.0,2.0,0.86
37.0,-1.0,10.0,5.0,5.0,0.5
38.0,1.0,13.0,11.0,2.0,0.85
39.0,1.0,13.0,9.0,4.0,0.69
40.0,1.0,13.0,10.0,3.0,0.77
41.0,1.0,13.0,9.0,4.0,0.69
42.0,1.0,14.0,10.0,4.0,0.71
43.0,1.0,12.0,9.0,3.0,0.75
44.0,1.0,13.0,8.0,5.0,0.62
45.0,1.0,12.0,9.0,3.0,0.75
46.0,1.0,15.0,9.0,6.0,0.6
47.0,1.0,13.0,10.0,3.0,0.77
48.0,1.0,15.0,10.0,5.0,0.67
49.0,1.0,11.0,9.0,2.0,0.82
50.0,1.0,11.0,9.0,2.0,0.82
51.0,1.0,11.0,9.0,2.0,0.82
52.0,1.0,13.0,10.0,3.0,0.77
53.0,1.0,13.0,10.0,3.0,0.77
54.0,1.0,13.0,11.0,2.0,0.85
55.0,1.0,12.0,8.0,4.0,0.67
56.0,1.0,13.0,9.0,4.0,0.69
57.0,1.0,14.0,10.0,4.0,0.71
58.0,1.0,14.0,9.0,5.0,0.64
59.0,1.0,13.0,11.0,2.0,0.85
60.0,1.0,13.0,11.0,2.0,0.85
61.0,1.0,13.0,10.0,3.0,0.77
62.0,1.0,12.0,9.0,3.0,0.75
63.0,1.0,12.0,8.0,4.0,0.67
64.0,1.0,11.0,9.0,2.0,0.82
65.0,1.0,12.0,8.0,4.0,0.67
66.0,1.0,12.0,11.0,1.0,0.92
67.0,-1.0,12.0,6.0,6.0,0.5
68.0,1.0,12.0,11.0,1.0,0.92
69.0,1.0,15.0,9.0,6.0,0.6
70.0,1.0,14.0,12.0,2.0,0.86
71.0,1.0,11.0,8.0,3.0,0.73
72.0,1.0,11.0,9.0,2.0,0.82
73.0,1.0,13.0,10.0,3.0,0.77
74.0,1.0,13.0,9.0,4.0,0.69
75.0,1.0,11.0,8.0,3.0,0.73
76.0,1.0,11.0,7.0,4.0,0.64
77.0,1.0,12.0,7.0,5.0,0.58
78.0,1.0,13.0,11.0,2.0,0.85
