Compatíveis   560  |  325   Incompatíveis
Compatíveis   624  |  228   Incompatíveis
Compatíveis   584  |  260   Incompatíveis
Compatíveis   597  |  290   Incompatíveis
Compatíveis   600  |  282   Incompatíveis
Compatíveis   619  |  275   Incompatíveis
Compatíveis   667  |  266   Incompatíveis
Compatíveis   558  |  222   Incompatíveis
Compatíveis   714  |  256   Incompatíveis
Compatíveis   613  |  292   Incompatíveis
Compatíveis   591  |  295   Incompatíveis
Compatíveis   641  |  217   Incompatíveis
Compatíveis   614  |  282   Incompatíveis
Compatíveis   647  |  279   Incompatíveis
Compatíveis   520  |  338   Incompatíveis
Compatíveis   603  |  303   Incompatíveis
Compatíveis   582  |  299   Incompatíveis
Compatíveis   685  |  191   Incompatíveis
Compatíveis   572  |  274   Incompatíveis
Compatíveis   582  |  201   Incompatíveis
