,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,7.0,4.0,3.0,0.57
2.0,1.0,10.0,7.0,3.0,0.7
3.0,1.0,7.0,5.0,2.0,0.71
4.0,1.0,6.0,4.0,2.0,0.67
5.0,1.0,8.0,6.0,2.0,0.75
6.0,1.0,6.0,4.0,2.0,0.67
7.0,-1.0,4.0,2.0,2.0,0.5
8.0,1.0,7.0,5.0,2.0,0.71
9.0,1.0,7.0,5.0,2.0,0.71
10.0,1.0,9.0,7.0,2.0,0.78
11.0,-1.0,6.0,2.0,4.0,0.33
12.0,1.0,10.0,9.0,1.0,0.9
13.0,1.0,10.0,8.0,2.0,0.8
14.0,1.0,11.0,9.0,2.0,0.82
15.0,1.0,13.0,8.0,5.0,0.62
16.0,1.0,6.0,4.0,2.0,0.67
17.0,1.0,7.0,7.0,0.0,1.0
18.0,1.0,10.0,6.0,4.0,0.6
19.0,1.0,8.0,6.0,2.0,0.75
20.0,1.0,9.0,5.0,4.0,0.56
21.0,1.0,8.0,7.0,1.0,0.88
22.0,1.0,8.0,6.0,2.0,0.75
23.0,1.0,8.0,6.0,2.0,0.75
24.0,1.0,7.0,4.0,3.0,0.57
25.0,1.0,7.0,5.0,2.0,0.71
26.0,1.0,5.0,5.0,0.0,1.0
27.0,1.0,7.0,5.0,2.0,0.71
28.0,1.0,9.0,7.0,2.0,0.78
29.0,-1.0,5.0,2.0,3.0,0.4
30.0,1.0,7.0,7.0,0.0,1.0
31.0,1.0,5.0,4.0,1.0,0.8
32.0,1.0,10.0,7.0,3.0,0.7
33.0,1.0,10.0,6.0,4.0,0.6
34.0,1.0,8.0,7.0,1.0,0.88
35.0,1.0,7.0,4.0,3.0,0.57
36.0,1.0,8.0,6.0,2.0,0.75
37.0,1.0,4.0,3.0,1.0,0.75
38.0,1.0,9.0,8.0,1.0,0.89
39.0,1.0,9.0,6.0,3.0,0.67
40.0,1.0,6.0,5.0,1.0,0.83
41.0,1.0,11.0,9.0,2.0,0.82
42.0,1.0,7.0,4.0,3.0,0.57
43.0,1.0,9.0,5.0,4.0,0.56
44.0,1.0,10.0,6.0,4.0,0.6
45.0,-1.0,3.0,0.0,3.0,0.0
46.0,1.0,8.0,6.0,2.0,0.75
47.0,1.0,5.0,4.0,1.0,0.8
48.0,1.0,11.0,9.0,2.0,0.82
49.0,-1.0,8.0,4.0,4.0,0.5
50.0,1.0,8.0,6.0,2.0,0.75
51.0,1.0,3.0,2.0,1.0,0.67
52.0,1.0,6.0,5.0,1.0,0.83
53.0,1.0,6.0,4.0,2.0,0.67
54.0,-1.0,5.0,2.0,3.0,0.4
55.0,-1.0,8.0,4.0,4.0,0.5
56.0,1.0,6.0,5.0,1.0,0.83
57.0,1.0,6.0,4.0,2.0,0.67
58.0,1.0,7.0,5.0,2.0,0.71
59.0,1.0,10.0,6.0,4.0,0.6
60.0,1.0,7.0,6.0,1.0,0.86
61.0,1.0,9.0,6.0,3.0,0.67
62.0,1.0,5.0,4.0,1.0,0.8
63.0,1.0,8.0,6.0,2.0,0.75
64.0,1.0,6.0,5.0,1.0,0.83
65.0,1.0,6.0,4.0,2.0,0.67
66.0,1.0,10.0,7.0,3.0,0.7
67.0,1.0,7.0,5.0,2.0,0.71
68.0,1.0,5.0,3.0,2.0,0.6
69.0,1.0,6.0,4.0,2.0,0.67
70.0,-1.0,4.0,2.0,2.0,0.5
71.0,1.0,10.0,8.0,2.0,0.8
72.0,-1.0,9.0,4.0,5.0,0.44
73.0,1.0,6.0,6.0,0.0,1.0
74.0,1.0,8.0,7.0,1.0,0.88
75.0,1.0,9.0,7.0,2.0,0.78
76.0,1.0,7.0,5.0,2.0,0.71
77.0,1.0,6.0,4.0,2.0,0.67
78.0,-1.0,8.0,4.0,4.0,0.5
79.0,1.0,8.0,6.0,2.0,0.75
80.0,1.0,4.0,4.0,0.0,1.0
81.0,1.0,6.0,6.0,0.0,1.0
82.0,-1.0,8.0,4.0,4.0,0.5
83.0,1.0,7.0,5.0,2.0,0.71
84.0,-1.0,7.0,2.0,5.0,0.29
85.0,1.0,6.0,5.0,1.0,0.83
86.0,1.0,5.0,3.0,2.0,0.6
87.0,1.0,8.0,5.0,3.0,0.63
88.0,1.0,5.0,4.0,1.0,0.8
89.0,1.0,10.0,7.0,3.0,0.7
90.0,1.0,9.0,6.0,3.0,0.67
91.0,1.0,5.0,4.0,1.0,0.8
92.0,1.0,6.0,5.0,1.0,0.83
93.0,1.0,10.0,7.0,3.0,0.7
94.0,1.0,8.0,5.0,3.0,0.63
95.0,1.0,6.0,4.0,2.0,0.67
96.0,1.0,7.0,5.0,2.0,0.71
97.0,1.0,8.0,5.0,3.0,0.63
98.0,-1.0,6.0,3.0,3.0,0.5
99.0,-1.0,8.0,3.0,5.0,0.38
100.0,1.0,8.0,7.0,1.0,0.88
101.0,1.0,8.0,5.0,3.0,0.63
102.0,1.0,8.0,6.0,2.0,0.75
103.0,1.0,9.0,5.0,4.0,0.56
104.0,1.0,9.0,8.0,1.0,0.89
105.0,-1.0,6.0,3.0,3.0,0.5
106.0,1.0,9.0,7.0,2.0,0.78
107.0,1.0,6.0,5.0,1.0,0.83
108.0,1.0,7.0,5.0,2.0,0.71
109.0,1.0,3.0,3.0,0.0,1.0
110.0,1.0,8.0,6.0,2.0,0.75
111.0,1.0,10.0,6.0,4.0,0.6
112.0,1.0,9.0,7.0,2.0,0.78
113.0,1.0,6.0,5.0,1.0,0.83
114.0,1.0,11.0,9.0,2.0,0.82
115.0,1.0,9.0,7.0,2.0,0.78
116.0,1.0,7.0,5.0,2.0,0.71
117.0,1.0,7.0,7.0,0.0,1.0
118.0,1.0,8.0,6.0,2.0,0.75
119.0,1.0,8.0,7.0,1.0,0.88
120.0,1.0,7.0,7.0,0.0,1.0
121.0,1.0,10.0,8.0,2.0,0.8
122.0,1.0,8.0,6.0,2.0,0.75
123.0,1.0,3.0,2.0,1.0,0.67
124.0,1.0,4.0,3.0,1.0,0.75
125.0,1.0,7.0,5.0,2.0,0.71
126.0,1.0,9.0,7.0,2.0,0.78
127.0,1.0,7.0,5.0,2.0,0.71
128.0,1.0,9.0,6.0,3.0,0.67
129.0,1.0,9.0,7.0,2.0,0.78
130.0,1.0,8.0,7.0,1.0,0.88
131.0,1.0,8.0,6.0,2.0,0.75
132.0,1.0,7.0,4.0,3.0,0.57
133.0,1.0,6.0,4.0,2.0,0.67
134.0,-1.0,8.0,4.0,4.0,0.5
135.0,-1.0,5.0,1.0,4.0,0.2
136.0,1.0,9.0,5.0,4.0,0.56
137.0,1.0,9.0,9.0,0.0,1.0
138.0,1.0,7.0,4.0,3.0,0.57
139.0,-1.0,6.0,3.0,3.0,0.5
140.0,1.0,5.0,3.0,2.0,0.6
141.0,1.0,6.0,4.0,2.0,0.67
142.0,1.0,5.0,4.0,1.0,0.8
143.0,1.0,8.0,6.0,2.0,0.75
144.0,1.0,9.0,7.0,2.0,0.78
145.0,1.0,6.0,4.0,2.0,0.67
146.0,-1.0,6.0,3.0,3.0,0.5
147.0,1.0,8.0,6.0,2.0,0.75
148.0,1.0,7.0,6.0,1.0,0.86
149.0,1.0,8.0,6.0,2.0,0.75
150.0,1.0,9.0,7.0,2.0,0.78
151.0,1.0,6.0,5.0,1.0,0.83
152.0,1.0,9.0,9.0,0.0,1.0
153.0,1.0,5.0,3.0,2.0,0.6
154.0,1.0,8.0,5.0,3.0,0.63
155.0,1.0,7.0,4.0,3.0,0.57
156.0,-1.0,6.0,3.0,3.0,0.5
157.0,1.0,3.0,2.0,1.0,0.67
158.0,-1.0,9.0,4.0,5.0,0.44
159.0,1.0,6.0,4.0,2.0,0.67
160.0,1.0,6.0,5.0,1.0,0.83
161.0,1.0,7.0,5.0,2.0,0.71
162.0,1.0,6.0,4.0,2.0,0.67
163.0,1.0,7.0,6.0,1.0,0.86
164.0,1.0,5.0,4.0,1.0,0.8
165.0,1.0,8.0,6.0,2.0,0.75
166.0,1.0,10.0,7.0,3.0,0.7
167.0,1.0,7.0,6.0,1.0,0.86
168.0,-1.0,4.0,2.0,2.0,0.5
169.0,1.0,8.0,7.0,1.0,0.88
170.0,1.0,10.0,6.0,4.0,0.6
171.0,1.0,6.0,5.0,1.0,0.83
