Compatíveis  2205  |  529   Incompatíveis
Compatíveis  2395  |  328   Incompatíveis
Compatíveis  2465  |  265   Incompatíveis
Compatíveis  2536  |  199   Incompatíveis
Compatíveis  2345  |  430   Incompatíveis
Compatíveis  2505  |  250   Incompatíveis
Compatíveis  2177  |  532   Incompatíveis
Compatíveis  2306  |  419   Incompatíveis
Compatíveis  2321  |  432   Incompatíveis
Compatíveis  2073  |  683   Incompatíveis
Compatíveis  2164  |  576   Incompatíveis
Compatíveis  2010  |  737   Incompatíveis
Compatíveis  2333  |  340   Incompatíveis
Compatíveis  2312  |  456   Incompatíveis
Compatíveis  2318  |  432   Incompatíveis
Compatíveis  2333  |  429   Incompatíveis
Compatíveis  2030  |  716   Incompatíveis
Compatíveis  2298  |  436   Incompatíveis
Compatíveis  2231  |  508   Incompatíveis
Compatíveis  2477  |  270   Incompatíveis
